OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SENTINEL-2B,2017-013A,2026-05-20T14:02:31.521120,14.30821069,.00012871,98.5692,215.7477,91.0448,269.0883,0,U,42063,999,48069,.15828758E-3,.371E-5,0
CARTOSAT-2E,2017-036C,2026-05-20T15:29:22.225632,15.19240117,.00040389,97.4281,200.8980,56.4765,303.6855,0,U,42767,999,49396,.17031343E-3,.3521E-4,0
FORMOSAT-5,2017-049A,2026-05-20T12:52:24.913344,14.50886386,.00118398,98.2255,216.4597,162.1208,198.0406,0,U,42920,999,46266,.34056756E-4,.91E-6,0
SENTINEL-5P,2017-064A,2026-05-20T06:56:41.930016,14.19513577,.00011232,98.7915,82.6212,77.7986,282.3316,0,U,42969,999,44560,.35346942E-4,.3E-6,0
SKYSAT-C11,2017-068A,2026-05-20T08:37:57.064800,15.56345995,.00016517,97.4331,288.0178,112.2847,247.8583,0,U,42987,999,47891,.2819288E-3,.19774E-3,0
SKYSAT-C10,2017-068B,2026-05-20T07:33:39.774816,15.34105191,.00016627,97.4473,276.9082,96.3563,263.7869,0,U,42988,999,47808,.19988478E-3,.6516E-4,0
SKYSAT-C9,2017-068C,2026-05-20T15:28:41.754144,15.40812878,.00076737,97.4397,277.9172,228.2925,131.7666,0,U,42989,999,47851,.22188972E-3,.9015E-4,0
SKYSAT-C8,2017-068D,2026-05-20T15:41:22.083648,15.36372945,.00016089,97.4493,276.9461,110.5725,249.5691,0,U,42990,999,47808,.21294219E-3,.7471E-4,0
SKYSAT-C7,2017-068E,2026-05-20T15:30:44.503488,15.36312733,.0005859,97.4503,277.9263,192.3610,167.7491,0,U,42991,999,47814,.21552075E-3,.7551E-4,0
SKYSAT-C6,2017-068F,2026-05-20T10:11:48.445728,15.33921135,.00015485,97.4541,277.7671,209.5123,150.6032,0,U,42992,999,47806,.19988112E-3,.6478E-4,0
CARTOSAT-2F,2018-004A,2026-05-20T06:45:44.917632,15.19233458,.00013515,97.4808,200.1852,47.7091,312.4258,0,U,43111,999,46309,.20301457E-3,.4208E-4,0
GAOFEN-1 02,2018-031A,2026-05-20T00:54:49.237632,14.76474033,.00045561,98.0537,202.6408,96.3731,263.7998,0,U,43259,999,43854,.29251909E-4,.152E-5,0
GAOFEN-1 03,2018-031B,2026-05-20T15:01:49.983744,14.76482960,.00032192,98.0529,203.0889,139.8736,220.2712,0,U,43260,999,43862,.65095447E-4,.402E-5,0
GAOFEN-1 04,2018-031D,2026-05-20T14:26:42.323136,14.76434936,.00018991,98.0536,203.2519,113.1468,246.9942,0,U,43262,999,43861,.12379705E-3,.809E-5,0
SENTINEL-3B,2018-039A,2026-05-20T10:02:18.234240,14.26740151,.0001322,98.6258,208.3472,77.1350,282.9978,0,U,43437,999,42016,.45814457E-4,.67E-6,0
GAOFEN-5 01,2018-043A,2026-05-20T09:15:02.712384,14.60583325,.00023873,98.4557,111.3915,134.1148,226.0248,0,U,43461,999,42763,.46559827E-4,.177E-5,0
GAOFEN-6,2018-048A,2026-05-20T15:02:22.458912,14.76596828,.00104854,97.7767,204.3183,264.1763,95.8253,0,U,43484,999,42932,.12597597E-3,.831E-5,0
GAOFEN-11 01,2018-063A,2026-05-20T15:04:59.725920,15.54422398,.00056638,97.1299,207.6006,82.5354,277.6544,0,U,43585,999,43606,.25761964E-3,.16837E-3,0
ICESAT-2,2018-070A,2026-05-20T15:41:33.217152,15.28274294,.0002651,92.0054,283.5466,122.8043,237.3462,0,U,43613,999,42825,.22808501E-3,.6281E-4,0
HYSIS,2018-096A,2026-05-20T14:27:07.320384,14.78629322,.00010326,97.9845,207.5640,115.5624,244.5694,0,U,43719,999,40334,.1109863E-3,.761E-5,0
KAZSTSAT,2018-099AB,2026-05-20T08:14:43.732608,14.99794782,.00059592,97.4288,173.5394,142.4332,217.7309,0,U,43783,999,40713,.34607762E-4,.373E-5,0
SAUDISAT 5A,2018-102A,2026-05-20T14:13:28.542144,15.27729949,.00085364,97.3077,202.7092,223.5525,136.5041,0,U,43831,999,41146,.13568779E-3,.3606E-4,0
SAUDISAT 5B,2018-102C,2026-05-20T14:47:29.896800,15.28003213,.00091851,97.3183,205.7521,226.8382,133.2091,0,U,43833,999,41158,.12697646E-3,.3398E-4,0
GAOFEN-10R,2019-066A,2026-05-20T15:01:04.073376,14.82991119,.00045214,98.0485,94.0081,215.0805,145.0111,0,U,44622,999,35829,.87515633E-4,.656E-5,0
CARTOSAT-3,2019-081A,2026-05-20T15:02:06.152640,15.19240655,.00111503,97.4314,202.9331,244.1076,115.9010,0,U,44804,999,35928,.30716173E-3,.6415E-4,0
GAOFEN-12 01,2019-082A,2026-05-20T15:19:51.773952,14.80432827,.00024229,97.8106,147.7459,104.1630,255.9852,0,U,44819,999,35001,.34067877E-4,.21E-5,0
CSG-1,2019-092A,2026-05-20T15:24:37.028736,14.82156729,.00013904,97.8886,324.6438,93.8110,266.3262,0,U,44873,999,34739,.5975672E-5,-.5E-7,0
NEMO-HD,2020-061F,2026-05-20T14:10:58.600992,15.43978770,.00026496,97.1930,202.8324,114.3474,245.8051,0,U,46277,999,31772,.16658871E-3,.7501E-4,0
SENTINEL-6A,2020-086A,2026-05-20T12:35:31.691040,12.80931400,.00078916,66.0399,192.5082,270.1805,89.8306,0,U,46984,999,25678,.46207476E-4,-.5E-6,0
CAS500-1,2021-022A,2026-05-20T16:19:36.057216,15.20130058,.00065377,97.3924,36.4856,40.8724,319.3001,0,U,47932,999,28658,.19223375E-3,.409E-4,0
GAOFEN-12 02,2021-026A,2026-05-20T15:31:34.212864,14.80271239,.00041457,97.9921,138.9415,341.5783,18.5278,0,U,48079,999,27768,.33691764E-4,.204E-5,0
